GEOID,NAME,variable,estimate,moe,sex
2915670,Columbia,0-4,-3597,309,Male
2915670,Columbia,5-9,-3430,450,Male
2915670,Columbia,10-14,-2947,360,Male
2915670,Columbia,15-19,-5363,324,Male
2915670,Columbia,20-24,-10755,534,Male
2915670,Columbia,25-29,-5287,311,Male
2915670,Columbia,30-34,-4228,305,Male
2915670,Columbia,35-39,-3691,402,Male
2915670,Columbia,40-44,-3191,456,Male
2915670,Columbia,45-49,-2793,348,Male
2915670,Columbia,50-54,-2507,239,Male
2915670,Columbia,55-59,-3098,415,Male
2915670,Columbia,60-64,-2503,308,Male
2915670,Columbia,65-69,-2018,287,Male
2915670,Columbia,70-74,-1485,244,Male
2915670,Columbia,75-79,-1041,190,Male
2915670,Columbia,80-84,-563,153,Male
2915670,Columbia,85+,-714,186,Male
2915670,Columbia,0-4,3323,317,Female
2915670,Columbia,5-9,2917,478,Female
2915670,Columbia,10-14,3096,405,Female
2915670,Columbia,15-19,6024,310,Female
2915670,Columbia,20-24,11608,404,Female
2915670,Columbia,25-29,5305,362,Female
2915670,Columbia,30-34,4321,363,Female
2915670,Columbia,35-39,3546,463,Female
2915670,Columbia,40-44,3715,429,Female
2915670,Columbia,45-49,2942,324,Female
2915670,Columbia,50-54,3014,305,Female
2915670,Columbia,55-59,3221,390,Female
2915670,Columbia,60-64,2710,412,Female
2915670,Columbia,65-69,2231,299,Female
2915670,Columbia,70-74,1657,319,Female
2915670,Columbia,75-79,1500,242,Female
2915670,Columbia,80-84,1155,269,Female
2915670,Columbia,85+,1163,220,Female
